ubi_pm,black_div_white
0,1.8219844866823476
20,1.7828520109675057
40,1.7692436167904295
60,1.7519776033468843
80,1.763199362859325
100,1.7201169155207185
120,1.7152592543521765
140,1.7191210185135308
160,1.6950658684804003
180,1.6458007798243706
200,1.6531865512957162
220,1.6381431355347047
240,1.6218395377085983
260,1.6059290410926546
280,1.6464439287853907
300,1.6277276414207005
320,1.609768578743238
340,1.587129817563304
360,1.5456215801101008
380,1.5521713597638358
400,1.5562480925136326
420,1.5533504968561782
440,1.5646770095172768
460,1.5597809929882158
480,1.5737944226140401
500,1.5247785881690938
520,1.5330783443985996
540,1.530433721759789
560,1.4947752933142884
580,1.4903714133890924
600,1.4656663494200797
620,1.4761817086523914
640,1.4714268794816476
660,1.458309107527859
680,1.3974801394664564
700,1.3947529233481206
720,1.4148884061753362
740,1.4219439393815871
760,1.44137243234213
780,1.4486435869937766
800,1.4489254214909406
820,1.4137934410154709
840,1.4311566767096715
860,1.4445143274751182
880,1.4156909952909855
900,1.4266199340724026
920,1.3988942245591207
940,1.4120554785030737
960,1.3460247665492886
980,1.3549104080880878
1000,1.3833541380224224
